Rank,Country,TICt
1,China,"$117,290"
2,USA,"$70,381"
3,Brazil,"$33,760"
4,India,"$33,065"
5,Japan,"$23,490"
6,Korea Republic of,"$14,349"
7,Turkey,"$13,267"
8,Argentina,"$13,204"
9,France,"$12,532"
10,Mexico,"$11,277"
11,Iran,"$11,276"
12,Nigeria,"$10,251"
13,Indonesia,"$9,550"
14,Thailand,"$8,066"
15,Australia,"$7,815"
16,Vietnam,"$7,490"
17,Ukraine,"$6,953"
18,Egypt,"$6,737"
19,Canada,"$6,694"
20,Pakistan,"$6,630"
21,Germany,"$6,481"
22,Bangladesh,"$5,623"
23,Spain,"$5,576"
24,Russian Federation,"$5,084"
25,Philippines,"$4,839"
26,Greece,"$4,342"
27,United Kingdom,"$4,005"
28,South Africa,"$3,922"
29,Romania,"$3,524"
30,Algeria,"$2,862"
31,Morocco,"$2,531"
32,Colombia,"$2,476"
33,Poland,"$2,449"
34,Ethiopia,"$2,312"
35,Venezuela,"$2,167"
36,Chile,"$2,095"
37,Netherlands,"$1,981"
38,Hungary,"$1,979"
39,Belarus,"$1,777"
40,Peru,"$1,580"
41,Cameroon,"$1,574"
42,Italy,"$1,447"
43,Denmark,"$1,417"
44,Nepal,"$1,411"
45,Sudan,"$1,373"
46,Portugal,"$1,365"
47,Belgium,"$1,351"
48,Kazakhstan,"$1,344"
49,Czech Republic,"$1,336"
50,Austria,"$1,304"
51,Iraq,"$1,234"
52,Kenya,"$1,230"
53,Mozambique,"$1,218"
54,Cambodia,"$1,121"
55,Ghana,"$1,114"
56,Bulgaria,"$1,112"
57,Madagascar,"$1,074"
58,Malawi,"$1,071"
59,Paraguay,"$1,012"
60,Guinea,$977.5
61,Tunisia,$949.2
62,Ecuador,$934.7
63,Switzerland,$924.1
64,Dominican Republic,$873.0
65,Jamaica,$871.7
66,Sri Lanka,$829.1
67,Yemen,$806.0
68,Saudi Arabia,$803.5
69,Honduras,$794.3
70,Croatia,$755.6
71,Azerbaijan,$730.7
72,New Zealand,$639.7
73,Albania,$637.2
74,Finland,$600.7
75,Slovakia,$573.4
76,Burkina Faso,$557.7
77,Costa Rica,$556.8
78,Sweden,$546.9
79,Israel,$518.4
80,Uruguay,$509.1
81,Laos,$508.2
82,Mali,$504.7
83,El Salvador,$475.1
84,Norway,$419.4
85,Burundi,$397.9
86,Lithuania,$392.4
87,Moldova,$387.5
88,Armenia,$336.0
89,Malaysia,$333.0
90,Bosnia and Herzegovina,$327.4
91,Kyrgyzstan,$302.0
92,Georgia (Republic),$301.5
93,Tajikistan,$297.1
94,Ireland,$277.6
95,Lebanon,$276.8
96,Nicaragua,$264.1
97,Rwanda,$255.1
98,Mauritius,$227.6
99,Macedonia,$218.4
100,Congo (Republic of),$212.8
101,Slovenia,$202.0
102,Niger,$197.3
103,Latvia,$187.3
104,Panama,$161.2
105,Togo,$153.2
106,Jordan,$116.4
107,Guinea-Bissau,$114.3
108,Cyprus,$108.5
109,Estonia,$102.1
110,Fiji,$87.1
111,Mongolia,$64.7
112,Luxembourg,$64.7
113,Belize,$42.2
114,Cape Verde,$40.8
115,Gambia,$37.6
116,Suriname,$36.5
117,Trinidad and Tobago,$28.8
118,Vanuatu,$23.5
119,Barbados,$20.3
120,Equatorial Guinea,$16.5
121,Malta,$14.4
122,Qatar,$5.0
123,Iceland,$4.8
124,Singapore,$0.7
