Rank,Country,TICt,meanGDP,propGDP
1,Malawi,"$1,071","$3,000",0.3569
2,Burundi,$398,"$1,121",0.3551
3,Guinea,$978,"$3,380",0.2892
4,Guinea-Bissau,$114,$513,0.2226
5,Mozambique,"$1,218","$6,423",0.1897
6,Madagascar,"$1,074","$5,842",0.1838
7,Cambodia,"$1,121","$6,487",0.1728
8,Nepal,"$1,411","$8,411",0.1678
9,Laos,$508,"$3,134",0.1622
10,Ethiopia,"$2,312","$14,344",0.1612
11,Vietnam,"$7,490","$55,702",0.1345
12,Moldova,$388,"$3,130",0.1238
13,Tajikistan,$297,"$2,579",0.1152
14,Paraguay,"$1,012","$9,127",0.1109
15,Kyrgyzstan,$302,"$2,756",0.1096
16,Burkina Faso,$558,"$5,244",0.1064
17,Cameroon,"$1,574","$16,009",0.0983
18,Mali,$505,"$5,365",0.0941
19,Nigeria,"$10,251","$110,790",0.0925
20,Bangladesh,"$5,623","$60,967",0.0922
21,Rwanda,$255,"$2,842",0.0898
22,Albania,$637,"$7,864",0.0810
23,Ukraine,"$6,953","$86,051",0.0808
24,Jamaica,$872,"$10,813",0.0806
25,Honduras,$794,"$10,042",0.0791
26,Ghana,"$1,114","$14,338",0.0777
27,Togo,$153,"$2,088",0.0734
28,Armenia,$336,"$5,359",0.0627
29,Kenya,"$1,230","$19,936",0.0617
30,Pakistan,"$6,630","$110,577",0.0600
31,Egypt,"$6,737","$112,654",0.0598
32,Argentina,"$13,204","$222,943",0.0592
33,Belarus,"$1,777","$30,307",0.0586
34,Niger,$197,"$3,366",0.0586
35,Vanuatu,$23,$401,0.0585
36,Iran,"$11,276","$200,194",0.0563
37,Gambia,$38,$706,0.0533
38,Yemen,$806,"$16,537",0.0487
39,Sudan,"$1,373","$29,276",0.0469
40,China,"$117,290","$2,552,671",0.0459
41,Georgia (Republic),$301,"$6,670",0.0452
42,Thailand,"$8,066","$183,583",0.0439
43,Philippines,"$4,839","$113,050",0.0428
44,Morocco,"$2,531","$60,211",0.0420
45,Nicaragua,$264,"$6,361",0.0415
46,Cape Verde,$41,"$1,004",0.0406
47,India,"$33,065","$844,053",0.0392
48,Belize,$42,"$1,100",0.0384
49,Bulgaria,"$1,112","$29,331",0.0379
50,Azerbaijan,$731,"$19,359",0.0377
51,Macedonia,$218,"$6,094",0.0358
52,Brazil,"$33,760","$953,030",0.0354
53,Mauritius,$228,"$6,494",0.0350
54,Congo (Republic of),$213,"$6,084",0.0350
55,Romania,"$3,524","$101,757",0.0346
56,Fiji,$87,"$2,619",0.0333
57,Sri Lanka,$829,"$25,653",0.0323
58,Indonesia,"$9,550","$314,522",0.0304
59,Turkey,"$13,267","$439,621",0.0302
60,Tunisia,$949,"$31,917",0.0297
61,Iraq,"$1,234","$41,518",0.0297
62,Bosnia and Herzegovina,$327,"$11,055",0.0296
63,Algeria,"$2,862","$98,448",0.0291
