species,max_impact_pct
Apiognomonia veneta,0
Atherigona miliaceae,0.3
Cryptophlebia illepida,4
Conogethes punctiferalis,5
Dysaphis plantaginea,5.2
Bathycoelia thalassina,9
Amrasca biguttula biguttula,9.2
Apiosporina morbosa,10
Argyrotaenia citrana,10
Ascochyta sorghi,10
Asproparthenis punctiventris,10
Brachycerus muricatus,10
Ceratocystis paradoxa,10
Dasineura mali,10
Agromyza frontella,11
Balansia oryzae-sativae,11
Cinara cupressi,12
Busseola fusca,15
Cochliobolus sativus,15
Corcyra cephalonica,15
Diaporthe phaseolorum var. meridionalis,15
Anaphothrips obscurus,16
Chalara elegans,19
Alternaria citri,20
Alternaria dianthicola,20
Cercospora sorghi,20
Choanephora cucurbitarum,20
Ceutorhynchus assimilis,21
Chilo infuscatellus,22
Chrysomphalus dictyospermi,23
Cydia splendana,23
Agromyza oryzae,25
Aspidiotus destructor,25
Aulacaspis tegalensis,25
Cephus cinctus,25
Cronartium quercuum,25
Dysmicoccus brevipes,25
Chlorops oryzae,26
Cyclaneusma minus,26
Chilo auricilius,29
Acleris gloverana,30
Bruchus pisorum,30
Chrysophtharta bimaculata,30
Colletotrichum truncatum,30
Diatraea saccharalis,30
Colletotrichum capsici,35
Brevicoryne brassicae,37
Alternaria sesami,40
Amblypelta cocophaga,40
Bemisia tabaci (B biotype),40
Darna trima,40
Alternaria japonica,42
Cosmopolites sordidus,44
Drepanopeziza punctiformis,45
Anoplophora glabripennis,46
Anomis sabulifera,48
Aphis craccivora,48
Agrotis segetum,50
Alternaria brassicicola,50
Anthonomus eugenii,50
Anthonomus signatus,50
Botrytis fabae,50
Ceratocystis fimbriata,50
Colletotrichum circinans,50
Colletotrichum linicola,50
Delia coarctata,50
Diatraea grandiosella,50
Didymella ligulicola,50
Anthonomus grandis,51
Botrytis aclada,51
Dorysthenes buqueti,51
Aphis glycines,52
Antigastra catalaunalis,53
Cercospora beticola,55
Cephus pygmeus,56
Cladosporium cucumerinum,57
Alternaria porri,59
Acalymma vittatum,60
Alternaria triticina,60
Alternaria helianthi,60
Bactrocera occipitalis,60
Chaetocnema pulicaria,60
Colletotrichum gossypii,60
Alternaria radicina,62
Diaporthe phaseolorum var. caulivora,62
Blumeria graminis,63
Basilepta fulvicornis,66
Colletotrichum sublineolum,67
Acraea acerata,70
Aphis fabae,70
Didymella lentis,70
Didymella pinodes,70
Dryocosmus kuriphilus,70
Dysdercus peruvianus,70
Alternaria brassicae,71
Anarsia lineatella,71
Anthonomus quadrigibbus,75
Choristoneura conflictana,75
Colletotrichum kahawae,75
Aspergillus niger,76
Aleurotrachelus socialis,79
Aonidomytilus albus,80
Aphis gossypii,80
Atherigona biseta,80
Colletotrichum acutatum,80
Coniella diplodiella,80
Corticium rolfsii,80
Cylas formicarius,80
Delia antiqua,80
Diuraphis noxia,80
Alternaria dauci,82
Armillaria mellea,85
Bactrocera invadens,85
Adoretus versutus,90
Amblypelta lutescens,90
Amblypelta nitida,90
Bactrocera cucurbitae,90
Bactrocera passiflorae,90
Carpomya pardalina,90
Ceratocystis fimbriata f. platani,90
Bactrocera frauenfeldi,91
Ciborinia camelliae,95
Colletotrichum lindemuthianum,95
Cronartium ribicola,95
Bactrocera kirki,99
Adelges piceae,100
Adelphocoris lineolatus,100
Agrilus planipennis,100
Agrius convolvuli,100
Amritodus atkinsoni,100
Anisogramma anomala,100
Aonidiella aurantii,100
Bactrocera facialis,100
Bactrocera zonata,100
Calopepla leayana,100
Chrysomphalus aonidum,100
Chrysomyxa abietis,100
Cicadulina mbila,100
Cylas puncticollis,100
Didymella fabae,100
